[5, 0, 3, 4];5,0,3,dd
[4, 4, 4, 0];4,4,4,vv
[6, 0, 6, 0];6,0,6,0,v
[5, 4, 0, 3];5,4,0,3,dd
[6, 0, 0, 6];6,0,0,6,xx
[4, 0, 4, 4];4,0,4,4,d
[4, 4, 4, 0];4,4,4,vv
[5, 4, 0, 3];5,4,0,3,d
[5, 0, 4, 3];5,0,4,3,d
[4, 4, 4, 0];4,4,4,0,d
[4, 0, 4, 4];4,0,4,4,d
[1, 4, 4, 3];1,4,4,vv
[5, 0, 4, 3];5,0,4,3,ddd
[6, 0, 0, 6];6,0,0,6,v
[0, 5, 3, 4];0,5,3,dddd
[4, 0, 4, 4];4,0,4,dd
[4, 4, 4, 0];4,4,4,vv
[6, 0, 6, 0];6,0,6,vvvvvvvv

[0, 5, 4, 3];0,5,4,3,v

[5, 4, 0, 3];5,4,0,3,dd
[5, 4, 0, 3];5,4,0,3,d
[4, 0, 4, 4];4,0,4,vv
[0, 5, 3, 4];0,5,3,4,vvvvvv
[4, 0, 4, 4];4,0,4,dd
[5, 0, 3, 4];5,0,3,4,v

[4, 0, 4, 4];4,0,4,4,v
[4, 4, 4, 0];4,4,4,vv
[4, 4, 4, 0];4,4,dd
[4, 4, 4, 0];4,4,4,0,v
[5, 0, 4, 3];5,0,4,dd
[4, 4, 4, 0];4,4,4,dd

[6, 0, 6, 0];6,0,6,dd
[5, 0, 3, 4];5,0,dd
[4, 4, 4, 0];4,4,vv
[5, 0, 3, 4];5,0,3,dd
[6, 0, 0, 6];6,0,dddd
[5, 4, 0, 3];5,4,vv
[6, 0, 6, 0];6,0,6,0,v

[5, 0, 3, 4];5,0,dd

[6, 0, 6, 0];6,0,6,vv
[5, 0, 3, 4];5,0,3,dd
[4, 4, 4, 0];4,4,4,0,d
[5, 0, 4, 3];5,0,4,dd

[6, 0, 0, 6];ddd
[0, 5, 3, 4];0,5,3,dddd
[5, 0, 4, 3];5,ddd
[5, 0, 4, 3];5,0,4,ddd
[4, 4, 4, 0];4,4,4,0,x
[5, 0, 4, 3];5,0,dd

[4, 4, 4, 0];4,4,4,0,d
[5, 4, 0, 3];5,4,0,dd
[4, 4, 4, 0];4,4,4,vv
[0, 5, 4, 3];0,5,4,dd
[5, 0, 4, 3];5,0,dddddddd
[5, 0, 4, 3];5,0,dd
[4, 4, 4, 0];4,4,dd
[6, 0, 0, 6];6,0,0,6,vv
[0, 5, 4, 3];0,5,4,dd
[0, 5, 3, 4];0,5,3,dd
[5, 4, 0, 3];5,4,0,dddddd
[6, 0, 6, 0];6,0,6,0,v
[1, 4, 4, 3];1,4,4,vv
[5, 0, 4, 3];5,0,4,vvvv
[6, 0, 6, 0];6,0,6,0,d

[4, 4, 4, 0];4,4,4,dddd
[1, 4, 4, 3];1,4,4,3,v
[4, 4, 4, 0];4,4,dd
[0, 5, 4, 3];0,5,4,3,dd
[0, 5, 3, 4];0,5,3,vvv
[0, 5, 3, 4];0,5,3,4,d
[0, 5, 4, 3];0,5,4,3,v
[1, 4, 4, 3];1,4,4,3,d

[4, 4, 4, 0];4,4,vv
[4, 4, 4, 0];4,4,dddd
[5, 0, 4, 3];5,0,dd
[4, 4, 4, 0];4,4,4,dd
[1, 4, 4, 3];1,4,4,vvv
[0, 5, 3, 4];0,5,3,dd
[4, 4, 4, 0];4,4,4,0,vvvv
[5, 0, 4, 3];5,0,4,3,vv
[0, 5, 4, 3];0,5,dd
[6, 0, 6, 0];6,0,dddd
[6, 0, 6, 0];6,0,6,vv
[1, 4, 4, 3];1,4,4,vv
[5, 0, 4, 3];5,0,dddd
[5, 0, 4, 3];5,0,dddd
[0, 5, 3, 4];0,5,3,dd
[4, 4, 4, 0];4,4,4,dd
[4, 4, 4, 0];4,4,4,dd
[1, 4, 4, 3];1,4,4,dd
[1, 4, 4, 3];1,dd
[5, 0, 4, 3];5,0,dddd
[0, 5, 4, 3];0,5,dd
[0, 5, 4, 3];0,5,vv
[0, 5, 3, 4];0,5,dd
[0, 5, 3, 4];0,5,3,dddd
[0, 5, 4, 3];0,5,dddd
[6, 0, 6, 0];6,0,dd
[5, 0, 4, 3];5,0,4,3,vv
[0, 5, 4, 3];0,5,4,dddddd
[0, 5, 3, 4];0,5,dd
[0, 5, 4, 3];0,5,4,3,v
[5, 0, 4, 3];5,0,4,dddddd
[4, 4, 4, 0];4,4,4,vv
[4, 4, 4, 0];4,4,4,0,v
[0, 5, 3, 4];0,5,dddd
[4, 4, 4, 0];4,4,ddd
[0, 5, 4, 3];0,5,4,dd
[0, 5, 3, 4];0,5,3,4,xxx
[5, 0, 4, 3];5,0,4,dd
[1, 4, 4, 3];1,4,4,3,vv
[1, 4, 4, 3];1,4,4,dddd
[1, 4, 4, 3];1,4,dddd
[5, 0, 4, 3];5,0,4,3,vvvvv
[6, 0, 6, 0];6,0,6,0,d
[6, 0, 6, 0];6,0,6,0,v
[6, 0, 6, 0];6,0,dd
[5, 0, 4, 3];5,0,d
[5, 0, 4, 3];5,0,dd
[0, 5, 4, 3];0,5,4,dd
[1, 4, 4, 3];1,4,4,d

[6, 0, 6, 0];6,0,6,d
[6, 0, 0, 6];6,0,0,6,d
[6, 0, 6, 0];6,0,d
[4, 4, 4, 0];4,4,d
[6, 0, 0, 6];6,dd
[4, 4, 4, 0];4,4,dd
[0, 5, 3, 4];0,5,3,4,d
[5, 0, 4, 3];5,0,4,v
[6, 0, 0, 6];6,0,0,d
[0, 5, 3, 4];0,5,dd
[0, 5, 4, 3];0,5,4,3,dd
[6, 0, 0, 6];6,0,0,6,d
[0, 5, 3, 4];0,5,3,4,v
[6, 0, 0, 6];6,0,0,6,d
[5, 0, 4, 3];5,0,4,d
[6, 0, 6, 0];6,0,6,0,d
[0, 5, 4, 3];0,5,4,dd
[6, 0, 6, 0];6,0,6,0,d
[0, 5, 3, 4];0,5,d
[4, 4, 4, 0];4,4,4,d
[4, 4, 4, 0];4,4,4,0,d
[0, 5, 4, 3];0,5,4,3,d
[6, 0, 6, 0];6,0,6,0,vvv
[6, 0, 0, 6];6,0,0,6,d

[4, 4, 4, 0];4,4,4,0,v
[0, 5, 4, 3];0,5,4,3,v
[0, 5, 4, 3];0,5,4,3,v
[5, 0, 4, 3];5,0,4,3,
[4, 4, 4, 0];4,4,ddv
[0, 5, 4, 3];0,5,4,dd
[0, 5, 4, 3];0,5,d
[5, 0, 4, 3];5,0,4,d
[6, 0, 6, 0];6,0,6,0,d
[0, 5, 4, 3];0,5,4,3,v
[0, 5, 4, 3];0,5,4,3,xx
[6, 0, 6, 0];6,0,6,d
[6, 0, 6, 0];6,0,6,0,
[1, 4, 4, 3];1,4,4,3,
[4, 4, 4, 0];4,4,4,0,dd
[5, 0, 4, 3];5,0,4,3,
[0, 5, 4, 3];0,dd
[1, 4, 4, 3];1,4,4,3,d
[0, 5, 4, 3];0,5,4,d
[4, 4, 4, 0];4,4,4,dd
[1, 4, 4, 3];1,4,4,3,xx
[1, 4, 4, 3];1,4,4,3,d
[6, 0, 6, 0];6,0,6,0,d
[5, 0, 4, 3];5,0,4,3,d
[0, 5, 4, 3];0,5,4,3,
[1, 4, 4, 3];1,d
[0, 5, 4, 3];0,5,4,dd
[5, 0, 4, 3];5,0,4,3,d
[5, 0, 4, 3];5,0,4,3,v
[4, 4, 4, 0];4,4,vv
[1, 4, 4, 3];1,4,4,vv
[0, 5, 4, 3];0,5,4,v
[5, 0, 4, 3];5,0,4,3,v
[5, 0, 4, 3];5,0,4,3,x
[0, 5, 4, 3];0,5,4,3,
[4, 4, 4, 0];4,4,4,0,d
[0, 5, 4, 3];0,5,4,3,
[4, 4, 4, 0];4,4,4,d
